County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Whitley County, Kentucky",21235,Rural,44332.000000000,"2866 of 3142"
"Darlington County, South Carolina",45031,Urban,44317.000000000,"2867 of 3142"
"Pickett County, Tennessee",47137,Rural,44317.000000000,"2867 of 3142"
"Brown County, Nebraska",31017,Rural,44267.000000000,"2869 of 3142"
"Johnson County, Kentucky",21115,Rural,44231.000000000,"2870 of 3142"
"Ware County, Georgia",13299,Rural,44138.000000000,"2871 of 3142"
"Prairie County, Montana",30079,Rural,44107.000000000,"2872 of 3142"
"Conejos County, Colorado",08021,Rural,44093.000000000,"2873 of 3142"
"New Madrid County, Missouri",29143,Rural,44092.000000000,"2874 of 3142"
"Russell County, Virginia",51167,Rural,44088.000000000,"2875 of 3142"
"McKinley County, New Mexico",35031,Rural,44029.000000000,"2876 of 3142"
"Franklin County, Mississippi",28037,Rural,43942.000000000,"2877 of 3142"
"Bacon County, Georgia",13005,Rural,43938.000000000,"2878 of 3142"
"Bamberg County, South Carolina",45009,Rural,43920.000000000,"2879 of 3142"
"Jasper County, Mississippi",28061,Rural,43914.000000000,"2880 of 3142"
"Hall County, Texas",48191,Rural,43873.000000000,"2881 of 3142"
"Reynolds County, Missouri",29179,Rural,43856.000000000,"2882 of 3142"
"Red River Parish, Louisiana",22081,Rural,43821.000000000,"2883 of 3142"
"Washington County, Georgia",13303,Rural,43810.000000000,"2884 of 3142"
"Menifee County, Kentucky",21165,Rural,43797.000000000,"2885 of 3142"
"Hyde County, North Carolina",37095,Rural,43724.000000000,"2886 of 3142"
"Henry County, Virginia",51089,Rural,43694.000000000,"2887 of 3142"
"Bradley County, Arkansas",05011,Rural,43688.000000000,"2888 of 3142"
"Lawrence County, Arkansas",05075,Rural,43606.000000000,"2889 of 3142"
"Cedar County, Missouri",29039,Rural,43589.000000000,"2890 of 3142"
"Wright County, Missouri",29229,Rural,43573.000000000,"2891 of 3142"
"Hardeman County, Tennessee",47069,Rural,43566.000000000,"2892 of 3142"
"Chattooga County, Georgia",13055,Rural,43556.000000000,"2893 of 3142"
"Worth County, Missouri",29227,Rural,43536.000000000,"2894 of 3142"
"Terrell County, Georgia",13273,Urban,43507.000000000,"2895 of 3142"
"San Miguel County, New Mexico",35047,Rural,43490.000000000,"2896 of 3142"
"St. Clair County, Missouri",29185,Rural,43483.000000000,"2897 of 3142"
"McIntosh County, Oklahoma",40091,Rural,43467.000000000,"2898 of 3142"
"Poinsett County, Arkansas",05111,Urban,43440.000000000,"2899 of 3142"
"Nevada County, Arkansas",05099,Rural,43421.000000000,"2900 of 3142"
"Webster County, West Virginia",54101,Rural,43409.000000000,"2901 of 3142"
"Madison County, Florida",12079,Rural,43386.000000000,"2902 of 3142"
"Grayson County, Virginia",51077,Rural,43348.000000000,"2903 of 3142"
"Hooker County, Nebraska",31091,Rural,43333.000000000,"2904 of 3142"
"Sharp County, Arkansas",05135,Rural,43332.000000000,"2905 of 3142"
"Choctaw County, Alabama",01023,Rural,43299.000000000,"2906 of 3142"
"Appling County, Georgia",13001,Rural,43268.000000000,"2907 of 3142"
"Clay County, Georgia",13061,Rural,43264.000000000,"2908 of 3142"
"Choctaw County, Oklahoma",40023,Rural,43252.000000000,"2909 of 3142"
"Seminole County, Oklahoma",40133,Rural,43239.000000000,"2910 of 3142"
"Columbus County, North Carolina",37047,Rural,43206.000000000,"2911 of 3142"
"Stewart County, Georgia",13259,Urban,43094.000000000,"2912 of 3142"
"Lenoir County, North Carolina",37107,Rural,43063.000000000,"2913 of 3142"
"Summers County, West Virginia",54089,Rural,42991.000000000,"2914 of 3142"
"Marengo County, Alabama",01091,Rural,42975.000000000,"2915 of 3142"
"Oktibbeha County, Mississippi",28105,Rural,42953.000000000,"2916 of 3142"
"Kemper County, Mississippi",28069,Rural,42947.000000000,"2917 of 3142"
"Buffalo County, South Dakota",46017,Rural,42917.000000000,"2918 of 3142"
"Marion County, Arkansas",05089,Rural,42891.000000000,"2919 of 3142"
"Texas County, Missouri",29215,Rural,42870.000000000,"2920 of 3142"
"Willacy County, Texas",48489,Rural,42839.000000000,"2921 of 3142"
"Wayne County, Missouri",29223,Rural,42758.000000000,"2922 of 3142"
"Latimer County, Oklahoma",40077,Rural,42735.000000000,"2923 of 3142"
"Terry County, Texas",48445,Rural,42694.000000000,"2924 of 3142"
"Attala County, Mississippi",28007,Rural,42680.000000000,"2925 of 3142"
"Kiowa County, Oklahoma",40075,Rural,42679.000000000,"2926 of 3142"
"Kusilvak Census Area, Alaska",02158,Rural,42663.000000000,"2927 of 3142"
"Pike County, Alabama",01109,Rural,42616.000000000,"2928 of 3142"
"Pulaski County, Georgia",13235,Rural,42545.000000000,"2929 of 3142"
"Ripley County, Missouri",29181,Rural,42541.000000000,"2930 of 3142"
"Lawrence County, Kentucky",21127,Urban,42488.000000000,"2931 of 3142"
"Barnwell County, South Carolina",45011,Rural,42470.000000000,"2932 of 3142"
"Johnson County, Arkansas",05071,Rural,42470.000000000,"2932 of 3142"
"Dillon County, South Carolina",45033,Rural,42454.000000000,"2934 of 3142"
"Claiborne County, Tennessee",47025,Rural,42406.000000000,"2935 of 3142"
"Jackson County, Tennessee",47087,Rural,42357.000000000,"2936 of 3142"
"Richmond County, North Carolina",37153,Rural,42354.000000000,"2937 of 3142"
"Union County, South Carolina",45087,Urban,42305.000000000,"2938 of 3142"
"Noxubee County, Mississippi",28103,Rural,42298.000000000,"2939 of 3142"
"Jim Hogg County, Texas",48247,Rural,42292.000000000,"2940 of 3142"
"Carroll County, Mississippi",28015,Rural,42285.000000000,"2941 of 3142"
"Warren County, North Carolina",37185,Rural,42282.000000000,"2942 of 3142"
"Pushmataha County, Oklahoma",40127,Rural,42274.000000000,"2943 of 3142"
"Brooks County, Georgia",13027,Urban,42263.000000000,"2944 of 3142"
"Braxton County, West Virginia",54007,Rural,42245.000000000,"2945 of 3142"
"Logan County, West Virginia",54045,Rural,42194.000000000,"2946 of 3142"
"Casey County, Kentucky",21045,Rural,42190.000000000,"2947 of 3142"
"Alleghany County, North Carolina",37005,Rural,42115.000000000,"2948 of 3142"
"Baca County, Colorado",08009,Rural,42115.000000000,"2948 of 3142"
"Searcy County, Arkansas",05129,Rural,42063.000000000,"2950 of 3142"
"Anson County, North Carolina",37007,Urban,42000.000000000,"2951 of 3142"
"Scotland County, North Carolina",37165,Rural,41948.000000000,"2952 of 3142"
"Foard County, Texas",48155,Rural,41944.000000000,"2953 of 3142"
"Jackson County, Arkansas",05067,Rural,41929.000000000,"2954 of 3142"
"Choctaw County, Mississippi",28019,Rural,41887.000000000,"2955 of 3142"
"Yazoo County, Mississippi",28163,Urban,41867.000000000,"2956 of 3142"
"Washington Parish, Louisiana",22117,Rural,41803.000000000,"2957 of 3142"
"Telfair County, Georgia",13271,Rural,41801.000000000,"2958 of 3142"
"Monroe County, Arkansas",05095,Rural,41786.000000000,"2959 of 3142"
"Jeff Davis County, Georgia",13161,Rural,41780.000000000,"2960 of 3142"
"Union County, New Mexico",35059,Rural,41714.000000000,"2961 of 3142"
"Pocahontas County, West Virginia",54075,Rural,41680.000000000,"2962 of 3142"
"Tunica County, Mississippi",28143,Urban,41676.000000000,"2963 of 3142"
"Bertie County, North Carolina",37015,Rural,41652.000000000,"2964 of 3142"
"Halifax County, North Carolina",37083,Rural,41629.000000000,"2965 of 3142"
"Lee County, Virginia",51105,Rural,41619.000000000,"2966 of 3142"
"Cochran County, Texas",48079,Urban,41597.000000000,"2967 of 3142"
"Wayne County, Kentucky",21231,Rural,41583.000000000,"2968 of 3142"
"Clay County, West Virginia",54015,Urban,41530.000000000,"2969 of 3142"
"Calhoun County, Florida",12013,Rural,41526.000000000,"2970 of 3142"
"Danville City, Virginia",51590,Rural,41484.000000000,"2971 of 3142"
"Emporia City, Virginia",51595,Rural,41442.000000000,"2972 of 3142"
"Mellette County, South Dakota",46095,Rural,41397.000000000,"2973 of 3142"
"Oregon County, Missouri",29149,Rural,41365.000000000,"2974 of 3142"
"Natchitoches Parish, Louisiana",22069,Rural,41310.000000000,"2975 of 3142"
"Roane County, West Virginia",54087,Rural,41299.000000000,"2976 of 3142"
"Pike County, Kentucky",21195,Rural,41271.000000000,"2977 of 3142"
"Macon County, Alabama",01087,Urban,41206.000000000,"2978 of 3142"
"Sioux County, North Dakota",38085,Rural,41201.000000000,"2979 of 3142"
"Clinton County, Kentucky",21053,Rural,41180.000000000,"2980 of 3142"
"Escambia County, Alabama",01053,Rural,41153.000000000,"2981 of 3142"
"Franklin Parish, Louisiana",22041,Rural,41129.000000000,"2982 of 3142"
"Lawrence County, Mississippi",28077,Rural,41096.000000000,"2983 of 3142"
"Glacier County, Montana",30035,Rural,41078.000000000,"2984 of 3142"
"Pulaski County, Illinois",17153,Rural,41038.000000000,"2985 of 3142"
"Orangeburg County, South Carolina",45075,Rural,41020.000000000,"2986 of 3142"
"Sharkey County, Mississippi",28125,Rural,41000.000000000,"2987 of 3142"
"Menard County, Texas",48327,Rural,40945.000000000,"2988 of 3142"
"Williamsburg County, South Carolina",45089,Rural,40848.000000000,"2989 of 3142"
"Mississippi County, Missouri",29133,Rural,40833.000000000,"2990 of 3142"
"Edwards County, Texas",48137,Rural,40809.000000000,"2991 of 3142"
"Sabine Parish, Louisiana",22085,Rural,40777.000000000,"2992 of 3142"
"Wilkinson County, Georgia",13319,Rural,40757.000000000,"2993 of 3142"
"Taylor County, Georgia",13269,Rural,40727.000000000,"2994 of 3142"
"Socorro County, New Mexico",35053,Rural,40699.000000000,"2995 of 3142"
"Esmeralda County, Nevada",32009,Rural,40694.000000000,"2996 of 3142"
"Crowley County, Colorado",08025,Rural,40685.000000000,"2997 of 3142"
"Cumberland County, Kentucky",21057,Rural,40515.000000000,"2998 of 3142"
"Bladen County, North Carolina",37017,Rural,40476.000000000,"2999 of 3142"
"Jackson Parish, Louisiana",22049,Rural,40406.000000000,"3000 of 3142"
"Alexander County, Illinois",17003,Urban,40365.000000000,"3001 of 3142"
"Swisher County, Texas",48437,Rural,40290.000000000,"3002 of 3142"
"Lafayette County, Arkansas",05073,Rural,40262.000000000,"3003 of 3142"
"Mora County, New Mexico",35033,Rural,40231.000000000,"3004 of 3142"
"Coke County, Texas",48081,Rural,40230.000000000,"3005 of 3142"
"Chickasaw County, Mississippi",28017,Rural,40224.000000000,"3006 of 3142"
"Brantley County, Georgia",13025,Urban,40166.000000000,"3007 of 3142"
"Covington County, Mississippi",28031,Rural,40164.000000000,"3008 of 3142"
"Hampton County, South Carolina",45049,Rural,40157.000000000,"3009 of 3142"
"Dickenson County, Virginia",51051,Rural,40143.000000000,"3010 of 3142"
"Pike County, Mississippi",28113,Rural,40131.000000000,"3011 of 3142"
"Dallas County, Arkansas",05039,Rural,40085.000000000,"3012 of 3142"
"Estill County, Kentucky",21065,Rural,39980.000000000,"3013 of 3142"
"Lanier County, Georgia",13173,Urban,39971.000000000,"3014 of 3142"
"Monroe County, Alabama",01099,Rural,39965.000000000,"3015 of 3142"
"Conecuh County, Alabama",01035,Rural,39888.000000000,"3016 of 3142"
"St. Francis County, Arkansas",05123,Rural,39822.000000000,"3017 of 3142"
"Scott County, Tennessee",47151,Rural,39744.000000000,"3018 of 3142"
"Barbour County, Alabama",01005,Rural,39712.000000000,"3019 of 3142"
"Turner County, Georgia",13287,Rural,39666.000000000,"3020 of 3142"
"Buchanan County, Virginia",51027,Rural,39591.000000000,"3021 of 3142"
"Clay County, Tennessee",47027,Rural,39572.000000000,"3022 of 3142"
"Harding County, New Mexico",35021,Rural,39489.000000000,"3023 of 3142"
"Elliott County, Kentucky",21063,Rural,39469.000000000,"3024 of 3142"
"Robeson County, North Carolina",37155,Rural,39393.000000000,"3025 of 3142"
"Martinsville City, Virginia",51690,Rural,39127.000000000,"3026 of 3142"
"Ozark County, Missouri",29153,Rural,39125.000000000,"3027 of 3142"
"Lee County, South Carolina",45061,Rural,39099.000000000,"3028 of 3142"
"Calhoun County, West Virginia",54013,Rural,39031.000000000,"3029 of 3142"
"Quay County, New Mexico",35037,Rural,38998.000000000,"3030 of 3142"
"Concordia Parish, Louisiana",22029,Rural,38929.000000000,"3031 of 3142"
"Washington County, North Carolina",37187,Rural,38927.000000000,"3032 of 3142"
"Fulton County, Arkansas",05049,Rural,38917.000000000,"3033 of 3142"
"Sumter County, Georgia",13261,Rural,38899.000000000,"3034 of 3142"
"Quitman County, Georgia",13239,Rural,38889.000000000,"3035 of 3142"
"Newton County, Texas",48351,Rural,38871.000000000,"3036 of 3142"
"Benton County, Mississippi",28009,Urban,38750.000000000,"3037 of 3142"
"Floyd County, Kentucky",21071,Rural,38723.000000000,"3038 of 3142"
"Guadalupe County, New Mexico",35019,Rural,38713.000000000,"3039 of 3142"
"Avoyelles Parish, Louisiana",22009,Rural,38696.000000000,"3040 of 3142"
"Jackson County, Colorado",08057,Rural,38686.000000000,"3041 of 3142"
"Treutlen County, Georgia",13283,Rural,38641.000000000,"3042 of 3142"
"Green County, Kentucky",21087,Rural,38595.000000000,"3043 of 3142"
"Jackson County, Kentucky",21109,Rural,38516.000000000,"3044 of 3142"
"Letcher County, Kentucky",21133,Rural,38466.000000000,"3045 of 3142"
"Powell County, Kentucky",21197,Rural,38415.000000000,"3046 of 3142"
"Marion County, Mississippi",28091,Rural,38399.000000000,"3047 of 3142"
"Washington County, Mississippi",28151,Rural,38394.000000000,"3048 of 3142"
"Knott County, Kentucky",21119,Rural,38336.000000000,"3049 of 3142"
"Mingo County, West Virginia",54059,Rural,38305.000000000,"3050 of 3142"
"Ben Hill County, Georgia",13017,Rural,38255.000000000,"3051 of 3142"
"Luna County, New Mexico",35029,Rural,38241.000000000,"3052 of 3142"
"Breathitt County, Kentucky",21025,Rural,38209.000000000,"3053 of 3142"
"Wilcox County, Alabama",01131,Rural,38208.000000000,"3054 of 3142"
"Jeff Davis County, Texas",48243,Rural,38125.000000000,"3055 of 3142"
"Desha County, Arkansas",05041,Rural,38067.000000000,"3056 of 3142"
"Atkinson County, Georgia",13003,Rural,38007.000000000,"3057 of 3142"
"Clay County, Kentucky",21051,Rural,37888.000000000,"3058 of 3142"
"Morehouse Parish, Louisiana",22067,Urban,37875.000000000,"3059 of 3142"
"Bolivar County, Mississippi",28011,Rural,37845.000000000,"3060 of 3142"
"Stone County, Arkansas",05137,Rural,37664.000000000,"3061 of 3142"
"Apache County, Arizona",04001,Rural,37483.000000000,"3062 of 3142"
"Phillips County, Arkansas",05107,Rural,37458.000000000,"3063 of 3142"
"Pemiscot County, Missouri",29155,Rural,37426.000000000,"3064 of 3142"
"Clay County, Mississippi",28025,Rural,37412.000000000,"3065 of 3142"
"Sunflower County, Mississippi",28133,Rural,37403.000000000,"3066 of 3142"
"Butte County, Idaho",16023,Urban,37358.000000000,"3067 of 3142"
"Adams County, Mississippi",28001,Rural,37271.000000000,"3068 of 3142"
"Glades County, Florida",12043,Rural,37221.000000000,"3069 of 3142"
"Dallas County, Alabama",01047,Rural,37180.000000000,"3070 of 3142"
"Walthall County, Mississippi",28147,Rural,37145.000000000,"3071 of 3142"
"Allendale County, South Carolina",45005,Rural,37096.000000000,"3072 of 3142"
"Leslie County, Kentucky",21131,Rural,37019.000000000,"3073 of 3142"
"Lincoln Parish, Louisiana",22061,Rural,37001.000000000,"3074 of 3142"
"Norton City, Virginia",51720,Rural,36974.000000000,"3075 of 3142"
"Montgomery County, Mississippi",28097,Rural,36845.000000000,"3076 of 3142"
"Lewis County, Kentucky",21135,Rural,36662.000000000,"3077 of 3142"
"Chicot County, Arkansas",05017,Rural,36593.000000000,"3078 of 3142"
"Jefferson Davis County, Mississippi",28065,Rural,36473.000000000,"3079 of 3142"
"Wheeler County, Georgia",13309,Rural,36354.000000000,"3080 of 3142"
"Bullock County, Alabama",01011,Rural,36136.000000000,"3081 of 3142"
"Coahoma County, Mississippi",28027,Rural,36075.000000000,"3082 of 3142"
"Starr County, Texas",48427,Rural,35979.000000000,"3083 of 3142"
"Marion County, South Carolina",45067,Rural,35972.000000000,"3084 of 3142"
"Culberson County, Texas",48109,Rural,35924.000000000,"3085 of 3142"
"Hale County, Alabama",01065,Urban,35851.000000000,"3086 of 3142"
"Tensas Parish, Louisiana",22107,Rural,35653.000000000,"3087 of 3142"
"Fulton County, Kentucky",21075,Rural,35449.000000000,"3088 of 3142"
"Briscoe County, Texas",48045,Rural,35446.000000000,"3089 of 3142"
"Tallahatchie County, Mississippi",28135,Rural,35428.000000000,"3090 of 3142"
"Sierra County, New Mexico",35051,Rural,35256.000000000,"3091 of 3142"
"Hudspeth County, Texas",48229,Urban,35163.000000000,"3092 of 3142"
"Harlan County, Kentucky",21095,Rural,35128.000000000,"3093 of 3142"
"Zapata County, Texas",48505,Rural,35061.000000000,"3094 of 3142"
"McCreary County, Kentucky",21147,Rural,35000.000000000,"3095 of 3142"
"Webster County, Georgia",13307,Rural,35000.000000000,"3095 of 3142"
"Wilkinson County, Mississippi",28157,Rural,34928.000000000,"3097 of 3142"
"Wayne County, Mississippi",28153,Rural,34875.000000000,"3098 of 3142"
"Amite County, Mississippi",28005,Rural,34866.000000000,"3099 of 3142"
"DeBaca County, New Mexico",35011,Rural,34702.000000000,"3100 of 3142"
"Costilla County, Colorado",08023,Rural,34578.000000000,"3101 of 3142"
"Evangeline Parish, Louisiana",22039,Rural,34526.000000000,"3102 of 3142"
"Madison Parish, Louisiana",22065,Rural,34508.000000000,"3103 of 3142"
"Claiborne County, Mississippi",28021,Rural,34282.000000000,"3104 of 3142"
"Marlboro County, South Carolina",45069,Rural,34275.000000000,"3105 of 3142"
"Bienville Parish, Louisiana",22013,Rural,34268.000000000,"3106 of 3142"
"Webster Parish, Louisiana",22119,Rural,34263.000000000,"3107 of 3142"
"Knox County, Kentucky",21121,Rural,34254.000000000,"3108 of 3142"
"Macon County, Georgia",13193,Rural,33960.000000000,"3109 of 3142"
"Lee County, Arkansas",05077,Rural,33801.000000000,"3110 of 3142"
"Todd County, South Dakota",46121,Rural,33792.000000000,"3111 of 3142"
"Bell County, Kentucky",21013,Rural,33658.000000000,"3112 of 3142"
"Piute County, Utah",49031,Rural,33359.000000000,"3113 of 3142"
"Hickory County, Missouri",29085,Rural,33302.000000000,"3114 of 3142"
"Lowndes County, Alabama",01085,Urban,33125.000000000,"3115 of 3142"
"Leflore County, Mississippi",28083,Rural,33115.000000000,"3116 of 3142"
"Owsley County, Kentucky",21189,Rural,32844.000000000,"3117 of 3142"
"Greene County, Alabama",01063,Urban,32796.000000000,"3118 of 3142"
"Perry County, Alabama",01105,Rural,32332.000000000,"3119 of 3142"
"Oglala Lakota, South Dakota",46102,Rural,32279.000000000,"3120 of 3142"
"Lake County, Tennessee",47095,Rural,32064.000000000,"3121 of 3142"
"Claiborne Parish, Louisiana",22027,Rural,32034.000000000,"3122 of 3142"
"Magoffin County, Kentucky",21153,Rural,31927.000000000,"3123 of 3142"
